gender,languages,height,travel time,reaction,celltxtsend,celltxtrec,bedtime,waketime,year,region
female,1,154,40,0.395,2,0,21:00:00,6:30:00,9,Auckland Region
female,3,144,4,0.667,4,14,22:15:00,7:30:00,7,Waikato Region
female,2,171,15,1.047,100,99,22:30:00,7:45:00,10,Other North Island
female,1,156,25,0.44,34,43,23:45:00,7:00:00,12,Wellington Region
female,2,164,10,0.525,14,13,21:30:00,6:30:00,9,Other North Island
female,1,165,6,0.448,30,30,22:00:00,6:45:00,9,Bay of Plenty Region
female,1,175,21,0.778,0,0,21:45:00,7:15:00,9,Auckland Region
female,1,,6,0.872,200,200,24:00:00,7:30:00,9,Auckland Region
female,1,151,6,0.487,10,25,22:45:00,8:30:00,10,Wellington Region
female,1,182,15,4.493,20,25,22:00:00,6:15:00,11,Waikato Region
male,1,152,8,0.437,5,5,21:45:00,6:45:00,7,Auckland Region
male,4,160,31,0.377,0,0,22:30:00,6:30:00,9,Canterbury Region
male,1,180,2,0.394,0,0,20:30:00,,8,Wellington Region
male,2,182,,1.079,50,50,22:00:00,5:45:00,11,Waikato Region
male,1,183,80,0.47,200,200,23:15:00,6:15:00,13,Other South Island
male,3,140,15,0.434,4,4,18:45:00,6:00:00,9,Auckland Region
male,1,152,5,0.593,0,0,9:30:00,19:30:00,5,Auckland Region
male,1,174,8,1.804,20,25,12:45:00,8:00:00,9,Auckland Region
male,1,132,2,,0,0,21:45:00,8:00:00,5,Auckland Region
male,1,130,,45.699,100,100,21:00:00,7:00:00,8,Auckland Region
