Year,Gender,Reaction time
10,Male,0.396
10,Male,3.241
10,Male,0.444
10,Female,0.435
10,Male,0.372
10,Male,0.584
10,Female,0.544
10,Female,0.422
10,Female,0.537
10,Female,0.464
10,Female,0.447
10,Female,0.478
10,Male,2.598
10,Female,1.333
10,Female,0.445
10,Non-binary,0.463
10,Male,0.421
10,Female,0.809
10,Female,0.529
10,Male,0.645
10,Male,0.54
10,Male,0.552
10,Female,0.572
10,Female,0.372
10,Male,0.384
10,Male,0.396
10,Male,1.955
10,Female,0.382
10,Female,1.086
10,Male,0.363
10,Male,0.469
10,Male,0.349
10,Male,0.361
10,Male,0.353
10,Female,0.41
10,,0.466
10,Female,0.469
10,Male,3.319
10,Male,0.454
10,Male,0.446
10,Male,0.521
10,,0.746
10,Female,0.367
10,Female,0.506
10,Female,0.476
10,Male,0.502
10,Male,0.382
10,Female,0.443
10,Female,0.422
10,Female,0.457
10,Female,0.514
10,Demigirl,0.402
10,Female,0.402
10,Female,0.457
10,Female,0.645
10,Male,0.4
10,Female,0.401
10,Female,0.466
10,Female,0.601
10,Male,0.464
10,Gender-fluid,0.452
10,Female,0.468
10,Male,0.362
10,Male,0.362
10,Female,0.412
10,Bigender,0.428
10,Female,0.401
10,Male,
10,Female,1.268
10,Female,0.48
10,Female,0.48
10,Female,0.436
10,Male,1.025
10,Male,0.396
10,Female,0.403
10,Female,0.421
10,Female,1.242
10,,0.505
10,Male,0.532
10,Female,0.536
10,Female,0.51
10,Female,0.427
10,Male,0.44
10,Female,0.364
10,Male,0.397
10,Male,0.491
10,Female,0.479
10,Female,0.348
10,Male,0.474
10,Female,0.452
10,Female,0.344
10,Male,0.564
10,Female,0.491
10,Male,0.37
10,Female,0.492
10,Female,
10,Female,0.521
10,Female,0.471
10,Male,0.42
10,,0.396
